Regions;Votes Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidadaos;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Ranking;Residents Total;Residents 0-14;%Residents 0-14;Residents 15-64;%Residents 15-64;Residents 65+;%Residents 65+;Population without Education;%Population without Education;Population with High School;%Population with High School;Companies Created;Average Monthly Income;Employees per Sector Total;Employees per Sector Agriculture;%Employees per Sector Agriculture;Employees per Sector Extraction Industries;%Employees per Sector Extraction Industries;Employees per Sector Transformation Industries;%Employees per Sector Transformation Industries;Employees per Sector Construction;%Employees per Sector Construction;Employees per Sector Gross and Retails Markets;%Employees per Sector Gross and Retails Markets;Employees per Sector Administration and Services;%Employees per Sector Administration and Services;Employees per Economic Sector Banks;%Employees per Economic Sector Banks;Employees per Economic Sector Others;%Employees per Economic Sector Others;Companies Dissolved;Unemployment Total;%Unemployment Total;Unemployment <25;%Unemployment <25
Boticas;3902;0;0;0;0;0;0;0;0;193;0;0;0;3141;0;0;0;0;0;0;0;0;0;0;0;0;0;568;0;0;0;x;5263;485;-1;3091;-1;1687;-1;1269;-1;475;-1;10;636;1065;340;-1;42;-1;156;-1;128;-1;165;-1;39;-1;0;-1;0;-1;6;262.2;-1;29.3;-1
Chaves;23676;331;591;0;0;0;0;0;0;1396;0;0;0;8641;0;0;0;0;0;0;0;0;0;0;0;0;0;12717;0;0;0;x;39910;4332;-1;25101;-1;10478;-1;4900;-1;5326;-1;81;712.5;8902;1138;-1;69;-1;1016;-1;815;-1;2215;-1;312;-1;115;-1;8;-1;73;2333;-1;295.5;-1
Montalegre;7290;0;0;0;0;0;0;0;0;211;0;0;0;0;2383;0;0;0;0;0;0;0;0;0;0;0;0;4696;0;0;0;x;9439;749;-1;5442;-1;3248;-1;2193;-1;951;-1;11;659.3;2094;795;-1;0;-1;178;-1;237;-1;302;-1;59;-1;21;-1;0;-1;17;426.9;-1;65.3;-1
Ribeira de Pena;5161;0;192;0;0;0;0;0;0;60;0;0;0;2267;0;0;0;0;0;0;0;0;0;0;0;0;0;2642;0;0;0;x;6183;709;-1;3842;-1;1633;-1;1468;-1;499;-1;15;688.9;1177;291;-1;0;-1;90;-1;329;-1;136;-1;36;-1;0;-1;0;-1;10;447.8;-1;55.7;-1
Valpacos;10127;0;258;0;0;0;0;0;0;145;0;0;0;8020;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;x;15478;1403;-1;8771;-1;5304;-1;3478;-1;1332;-1;21;639.6;4391;2288;-1;48;-1;232;-1;532;-1;573;-1;134;-1;33;-1;8;-1;19;790.3;-1;115.3;-1
Vila Pouca de Aguiar;8890;0;317;0;0;0;0;0;0;75;0;0;0;4984;0;0;0;0;0;0;0;0;0;0;0;0;0;3514;0;0;0;x;12328;1172;-1;7591;-1;3565;-1;2074;-1;1195;-1;25;669.4;3037;590;-1;183;-1;635;-1;334;-1;488;-1;103;-1;30;-1;0;-1;16;706.3;-1;100.3;-1
Amarante;31345;562;0;0;0;0;0;0;0;497;0;0;0;0;17835;0;0;0;0;0;0;0;0;0;0;0;0;11833;0;0;0;x;54190;7325;-1;37449;-1;9417;-1;6125;-1;5745;-1;133;723.9;16307;766;-1;20;-1;3329;-1;5738;-1;2578;-1;710;-1;92;-1;0;-1;121;3552.7;-1;535.8;-1
Baiao;10828;0;0;0;0;0;0;0;0;198;0;0;0;0;3038;0;0;0;0;0;0;0;0;0;0;0;0;7592;0;0;0;x;19372;2441;-1;13027;-1;3904;-1;3429;-1;1634;-1;42;615.9;3241;439;-1;0;-1;442;-1;1086;-1;533;-1;111;-1;14;-1;0;-1;55;1683.6;-1;248.8;-1
Castelo de Paiva;10211;0;0;0;0;0;0;0;0;231;0;0;0;0;4004;0;0;0;0;0;0;0;0;0;0;0;0;5976;0;0;0;x;15889;2201;-1;10925;-1;2763;-1;1466;-1;1454;-1;23;625;3547;210;-1;0;-1;1257;-1;623;-1;598;-1;107;-1;17;-1;0;-1;21;1141.8;-1;206.1;-1
Celorico de Basto;11720;0;390;0;0;0;3479;0;0;308;0;0;0;5669;0;0;0;0;0;0;0;0;0;0;0;0;0;1874;0;0;0;x;19413;2450;-1;13126;-1;3838;-1;2727;-1;1947;-1;32;667.1;3891;511;-1;0;-1;927;-1;497;-1;633;-1;452;-1;16;-1;0;-1;31;1101.8;-1;135.7;-1
Cinfaes;10871;0;0;0;0;0;0;0;0;274;0;0;0;0;2047;0;0;0;0;0;0;0;0;0;0;0;0;8550;0;0;0;x;19010;2545;-1;12264;-1;4201;-1;3155;-1;1524;-1;54;621.5;3365;488;-1;0;-1;327;-1;1062;-1;546;-1;249;-1;18;-1;0;-1;21;1816.3;-1;228.8;-1
Felgueiras;33265;0;0;0;0;0;0;0;0;683;0;0;0;0;0;0;0;0;0;0;0;13858;0;0;0;0;0;0;0;0;0;x;57098;8043;-1;40969;-1;8087;-1;5231;-1;5717;-1;178;620.9;29909;690;-1;0;-1;20243;-1;1736;-1;3672;-1;687;-1;121;-1;24;-1;134;2148.7;-1;327.2;-1
Lousada;28069;368;0;0;0;0;0;0;0;457;0;0;0;0;11967;0;0;0;0;0;0;0;0;0;0;0;0;15277;0;0;0;x;46988;7230;-1;33893;-1;5866;-1;4033;-1;3904;-1;136;605.5;16482;354;-1;0;-1;7875;-1;2829;-1;2791;-1;425;-1;48;-1;0;-1;119;2409.3;-1;333.3;-1
Marco de Canaveses;28991;385;5422;0;0;0;0;0;0;846;0;0;0;9149;0;0;0;0;0;0;0;0;0;0;0;0;0;13189;0;0;0;x;52295;7772;-1;36838;-1;7686;-1;5107;-1;4755;-1;123;691.4;15244;328;-1;602;-1;3465;-1;5258;-1;2644;-1;458;-1;77;-1;0;-1;159;3937.4;-1;672.4;-1
Pacos de Ferreira;31616;0;362;0;0;0;0;0;0;435;0;0;0;9470;0;0;0;0;0;0;0;0;0;0;0;0;0;21125;0;0;224;x;56931;8699;-1;40899;-1;7334;-1;4417;-1;4516;-1;186;612.7;20841;152;-1;65;-1;12074;-1;864;-1;3608;-1;618;-1;94;-1;6;-1;134;3629.3;-1;491.8;-1
Penafiel;43980;504;0;0;0;0;3638;0;0;687;0;0;0;0;23420;0;0;0;0;0;0;0;0;0;0;0;0;15731;0;0;0;x;70546;10648;-1;49620;-1;10279;-1;6801;-1;7240;-1;174;704.4;21602;623;-1;212;-1;6621;-1;5476;-1;3746;-1;624;-1;88;-1;49;-1;170;4576.1;-1;739.5;-1
Resende;7604;0;528;0;0;0;0;0;0;56;0;0;0;3298;0;0;0;0;0;0;0;0;0;0;0;0;0;3722;0;0;0;x;10539;1343;-1;6828;-1;2368;-1;2047;-1;961;-1;11;646.8;2141;867;-1;0;-1;132;-1;302;-1;422;-1;55;-1;15;-1;0;-1;17;817.9;-1;140.4;-1
Alijo;7600;745;0;0;0;0;0;0;0;212;0;0;0;0;3568;0;0;0;0;0;0;0;0;0;0;0;0;3075;0;0;0;x;11013;1169;-1;6520;-1;3325;-1;1868;-1;1082;-1;24;737.9;3499;1849;-1;0;-1;390;-1;0;-1;395;-1;115;-1;14;-1;11;-1;11;633.8;-1;84.5;-1
Armamar;3936;0;844;0;0;0;0;0;0;225;0;0;0;2250;0;0;0;0;0;0;0;0;0;0;0;0;0;617;0;0;0;x;5908;614;-1;3713;-1;1582;-1;875;-1;611;-1;3;654.9;2290;826;-1;0;-1;221;-1;105;-1;769;-1;41;-1;0;-1;0;-1;11;386.8;-1;68.5;-1
Carrazeda de Ansiaes;4079;0;0;0;0;0;1894;0;0;116;0;0;0;2069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;x;5840;590;-1;3260;-1;1990;-1;1195;-1;533;-1;8;643.8;1494;758;-1;0;-1;133;-1;81;-1;230;-1;40;-1;0;-1;0;-1;6;319.5;-1;53.6;-1
